name,ticker
Apple,AAPL
Apple Inc,AAPL
Microsoft,MSFT
Amazon,AMZN
Alphabet,GOOGL
Google,GOOGL
Meta,META
Facebook,META
Tesla,TSLA
Nvidia,NVDA
Netflix,NFLX
Berkshire Hathaway,BRK.B
JPMorgan Chase,JPM
JP Morgan,JPM
Visa,V
Mastercard,MA
Johnson & Johnson,JNJ
Walmart,WMT
Procter & Gamble,PG
UnitedHealth,UNH
Home Depot,HD
Bank of America,BAC
Exxon Mobil,XOM
Chevron,CVX
Coca-Cola,KO
PepsiCo,PEP
Disney,DIS
Intel,INTC
AMD,AMD
Advanced Micro Devices,AMD
Salesforce,CRM
Adobe,ADBE
Oracle,ORCL
IBM,IBM
Cisco,CSCO
Qualcomm,QCOM
Starbucks,SBUX
McDonald's,MCD
Nike,NKE
Boeing,BA
Goldman Sachs,GS
Morgan Stanley,MS
Ford,F
General Motors,GM
Uber,UBER
Airbnb,ABNB
PayPal,PYPL
Shopify,SHOP
Spotify,SPOT
Palantir,PLTR
Coinbase,COIN
Robinhood,HOOD
Zoom,ZM
Snap,SNAP
Pinterest,PINS
Block,SQ
Square,SQ
